incident_type_primary,city,state,hour_of_day,day_of_week,parent_incident_type,month_of_year,day_of_month,year
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,6,4,1,6,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,4,1,6,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,6,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,6,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,6,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,6,15,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,23,5,1,6,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,6,1,6,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,6,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,6,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,6,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,0,1,6,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,1,1,6,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,1,1,6,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,6,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,5,1,6,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,5,1,6,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,5,1,6,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,6,1,6,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,6,17,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,21,0,1,6,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,1,1,6,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,1,1,6,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,1,1,6,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,6,1,6,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,5,1,6,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,2,1,6,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,2,1,6,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,2,1,6,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,3,1,6,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,3,1,6,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,6,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,3,1,6,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,3,1,6,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,4,1,6,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,4,1,6,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,6,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,4,1,6,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,6,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,6,1,6,30,2012
ASSAULTS-OTHER,VICTORIA,BC,9,6,1,6,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,7,1,2012
ASSAULTS-OTHER,VICTORIA,BC,18,0,1,7,1,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,8,0,1,7,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,7,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,0,1,7,1,2012
ASSAULTS-OTHER,VICTORIA,BC,19,0,1,7,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,0,1,7,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,7,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,1,1,7,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,1,1,7,2,2012
ASSAULTS-OTHER,VICTORIA,BC,2,1,1,7,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,2,1,7,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,2,1,7,3,2012
ASSAULTS-OTHER,VICTORIA,BC,0,2,1,7,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,2,1,7,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,3,1,7,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,7,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,7,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,5,1,7,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,5,1,7,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,5,1,7,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,7,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,6,1,7,7,2012
ASSAULTS-OTHER,VICTORIA,BC,13,6,1,7,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,6,1,7,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,6,1,7,7,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,17,6,1,6,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,0,1,6,24,2012
ASSAULTS-OTHER,VICTORIA,BC,1,6,1,6,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,7,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,0,1,7,8,2012
ASSAULTS-OTHER,VICTORIA,BC,11,0,1,7,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,7,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,2,1,7,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,2,1,7,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,2,1,7,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,2,1,7,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,2,1,7,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,3,1,7,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,7,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,6,3,1,7,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,7,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,0,1,7,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,4,1,7,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,4,1,7,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,4,1,7,5,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,11,6,1,7,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,6,1,7,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,6,1,7,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,7,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,7,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,1,1,7,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,2,1,7,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,2,1,7,17,2012
ASSAULTS-OTHER,VICTORIA,BC,23,3,1,7,18,2012
ASSAULTS-OTHER,VICTORIA,BC,15,3,1,7,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,3,1,7,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,4,1,7,19,2012
ASSAULTS-OTHER,VICTORIA,BC,7,4,1,7,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,4,1,7,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,4,1,7,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,5,1,7,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,5,1,7,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,7,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,7,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,6,1,7,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,6,1,7,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,7,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,0,1,7,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,7,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,7,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,0,1,7,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,1,1,7,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,1,1,7,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,7,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,7,2,1,7,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,7,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,3,1,7,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,6,4,1,7,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,4,1,7,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,4,1,7,26,2012
ASSAULTS-OTHER,VICTORIA,BC,14,4,1,7,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,4,1,7,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,4,1,7,26,2012
ASSAULTS-OTHER,VICTORIA,BC,11,5,1,7,27,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,5,1,7,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,4,1,7,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,5,1,7,27,2012
ASSAULTS-OTHER,VICTORIA,BC,2,5,1,7,27,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,4,5,1,7,27,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,21,6,1,7,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,2,1,7,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,2,1,7,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,2,1,7,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,3,1,8,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,3,1,8,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,8,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,3,1,8,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,4,1,8,2,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,7,4,1,8,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,4,1,8,2,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,23,4,1,8,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,4,1,8,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,5,1,8,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,5,1,8,3,2012
ASSAULTS-OTHER,VICTORIA,BC,20,5,1,8,3,2012
ASSAULTS-OTHER,VICTORIA,BC,0,6,1,8,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,6,1,8,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,6,1,8,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,6,1,8,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,8,4,2012
ASSAULTS-OTHER,VICTORIA,BC,0,0,1,8,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,0,1,8,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,0,1,8,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,7,1,1,8,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,1,1,8,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,8,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,2,1,8,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,1,1,8,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,2,1,8,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,2,1,8,7,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,14,2,1,7,31,2012
ASSAULTS-OTHER,VICTORIA,BC,16,3,1,8,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,3,1,8,8,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,3,1,8,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,3,1,8,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,3,1,8,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,3,1,8,8,2012
ASSAULTS-OTHER,VICTORIA,BC,19,3,1,8,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,4,1,8,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,4,1,8,9,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,8,10,2012
ASSAULTS-OTHER,VICTORIA,BC,15,5,1,8,10,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,10,6,1,8,11,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,0,6,1,8,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,0,1,8,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,8,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,8,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,0,1,8,12,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,4,1,7,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,1,1,8,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,1,1,8,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,8,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,1,1,8,13,2012
ASSAULTS-OTHER,VICTORIA,BC,17,1,1,8,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,1,1,8,13,2012
ASSAULTS-OTHER,VICTORIA,BC,19,1,1,8,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,3,1,8,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,3,1,8,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,3,1,8,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,8,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,8,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,4,1,8,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,4,1,8,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,4,1,8,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,4,1,8,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,8,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,5,1,8,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,6,1,8,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,8,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,0,1,8,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,8,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,8,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,0,1,8,19,2012
ASSAULTS-OTHER,VICTORIA,BC,23,6,1,8,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,0,1,8,19,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,8,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,1,1,8,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,1,1,8,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,2,1,8,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,2,1,8,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,3,1,8,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,3,1,8,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,4,1,8,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,4,1,8,23,2012
ASSAULTS-OTHER,VICTORIA,BC,14,5,1,8,24,2012
ASSAULTS-OTHER,VICTORIA,BC,0,5,1,8,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,6,1,8,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,6,1,8,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,3,1,8,15,2012
ASSAULTS-OTHER,VICTORIA,BC,23,6,1,8,25,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,0,1,8,26,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,1,0,1,8,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,7,1,1,8,27,2012
ASSAULTS-OTHER,VICTORIA,BC,22,1,1,8,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,1,1,8,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,2,1,8,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,2,1,8,28,2012
ASSAULTS-OTHER,VICTORIA,BC,16,3,1,8,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,3,1,8,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,4,1,8,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,5,4,1,8,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,4,1,8,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,7,5,1,8,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,5,1,8,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,5,1,8,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,5,1,8,31,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,5,1,8,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,6,1,9,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,6,1,9,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,9,1,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,23,6,1,9,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,0,1,9,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,9,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,9,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,0,1,9,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,0,1,9,2,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,1,1,9,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,1,1,9,3,2012
ASSAULTS-OTHER,VICTORIA,BC,17,1,1,9,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,1,1,9,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,4,1,1,9,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,1,1,9,3,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,2,1,9,4,2012
ASSAULTS-OTHER,VICTORIA,BC,20,2,1,9,4,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,6,1,9,1,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,4,1,8,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,3,1,9,5,2012
ASSAULTS-OTHER,VICTORIA,BC,18,3,1,9,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,5,1,8,31,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,3,1,9,5,2012
ASSAULTS-OTHER,VICTORIA,BC,22,3,1,9,5,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,4,1,9,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,4,1,9,6,2012
ASSAULTS-OTHER,VICTORIA,BC,19,4,1,9,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,4,1,9,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,13,4,1,9,6,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,4,1,9,6,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,18,5,1,9,7,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,9,8,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,9,9,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,1,0,1,9,9,2012
ASSAULTS-OTHER,VICTORIA,BC,8,1,1,9,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,12,1,1,9,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,1,1,9,10,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,2,1,9,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,2,1,9,11,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,4,1,9,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,4,1,9,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,4,1,9,13,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,5,1,9,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,9,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,6,1,9,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,6,1,9,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,6,1,9,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,5,1,9,14,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,23,6,1,9,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,0,1,9,16,2012
ASSAULTS-OTHER,VICTORIA,BC,19,0,1,9,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,0,1,9,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,18,0,1,9,16,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,1,1,9,17,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,2,1,9,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,2,1,9,18,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,21,4,1,9,20,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,0,5,1,9,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,5,1,9,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,5,1,9,21,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,9,22,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,1,6,1,9,22,2012
ASSAULTS-OTHER,VICTORIA,BC,2,6,1,9,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,6,1,9,22,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,0,1,9,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,0,1,9,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,0,1,9,23,2012
ASSAULTS-OTHER,VICTORIA,BC,1,0,1,9,23,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,1,1,9,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,8,1,1,9,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,1,1,9,24,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,22,6,1,9,15,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,3,2,1,9,25,2012
ASSAULT AGAINST POLICE OFFICER,VICTORIA,BC,0,3,1,9,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,20,3,1,9,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,2,3,1,9,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,3,1,9,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,1,4,1,9,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,11,3,1,9,26,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,4,1,9,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,19,4,1,9,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,15,4,1,9,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,4,1,9,27,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,5,1,9,28,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,17,5,1,9,28,2012
ASSAULTS-OTHER,VICTORIA,BC,19,5,1,9,28,2012
ASSAULTS-OTHER,VICTORIA,BC,2,6,1,9,29,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,10,0,1,9,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,14,0,1,9,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,9,0,1,9,30,2012
ASSAULT-COMMON OR TRESPASS,VICTORIA,BC,16,0,1,9,30,2012
